,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,LogisticRegression,0.6595744680851063,0.6503831417624522,0.6954022988505748
1,1,LINCS,False,LogisticRegression,0.574468085106383,0.5715725806451613,0.5866935483870968
2,2,LINCS,False,LogisticRegression,0.7659574468085106,0.7574074074074073,0.7537037037037038
3,3,LINCS,False,LogisticRegression,0.574468085106383,0.5519607843137255,0.584313725490196
4,4,LINCS,False,LogisticRegression,0.574468085106383,0.5866935483870968,0.6088709677419355
5,5,LINCS,False,LogisticRegression,0.6170212765957447,0.6490196078431372,0.7901960784313725
6,6,LINCS,False,LogisticRegression,0.6595744680851063,0.669607843137255,0.7058823529411765
7,7,LINCS,False,LogisticRegression,0.6382978723404256,0.6274509803921569,0.6470588235294118
8,8,LINCS,False,LogisticRegression,0.6170212765957447,0.5,0.5
9,9,LINCS,False,LogisticRegression,0.5957446808510638,0.5574596774193548,0.5806451612903226
10,10,LINCS,False,LogisticRegression,0.5957446808510638,0.575091575091575,0.6593406593406593
11,11,LINCS,False,LogisticRegression,0.6170212765957447,0.5686090225563909,0.618421052631579
12,12,LINCS,False,LogisticRegression,0.46808510638297873,0.46862745098039216,0.48627450980392156
13,13,LINCS,False,LogisticRegression,0.6170212765957447,0.5511904761904762,0.6619047619047619
14,14,LINCS,False,LogisticRegression,0.5957446808510638,0.5761278195488722,0.6560150375939849
15,15,LINCS,False,LogisticRegression,0.5319148936170213,0.5,0.5
16,16,LINCS,False,LogisticRegression,0.48936170212765956,0.49193548387096775,0.6108870967741935
17,17,LINCS,False,LogisticRegression,0.6808510638297872,0.6729323308270676,0.7011278195488722
18,18,LINCS,False,LogisticRegression,0.6595744680851063,0.6293103448275862,0.6724137931034484
19,19,LINCS,False,LogisticRegression,0.5531914893617021,0.553639846743295,0.578544061302682
20,20,LINCS,False,LogisticRegression,0.6382978723404256,0.6147058823529412,0.6647058823529411
21,21,LINCS,False,LogisticRegression,0.574468085106383,0.5,0.5
22,22,LINCS,False,LogisticRegression,0.5531914893617021,0.5479166666666666,0.5833333333333334
23,23,LINCS,False,LogisticRegression,0.5957446808510638,0.5768518518518518,0.6666666666666667
24,24,LINCS,False,LogisticRegression,0.5957446808510638,0.5780542986425339,0.6266968325791856
25,25,LINCS,False,LogisticRegression,0.5319148936170213,0.5472222222222223,0.48333333333333334
26,26,LINCS,False,LogisticRegression,0.7446808510638298,0.7285067873303167,0.7918552036199095
27,27,LINCS,False,LogisticRegression,0.5531914893617021,0.5302083333333334,0.5291666666666667
28,28,LINCS,False,LogisticRegression,0.6595744680851063,0.5,0.5
29,29,LINCS,False,LogisticRegression,0.723404255319149,0.7196078431372549,0.711764705882353
30,30,LINCS,False,LogisticRegression,0.6595744680851063,0.5,0.5
31,31,LINCS,False,LogisticRegression,0.5106382978723404,0.487781954887218,0.518796992481203
32,32,LINCS,False,LogisticRegression,0.5531914893617021,0.5479166666666666,0.6541666666666667
33,33,LINCS,False,LogisticRegression,0.6382978723404256,0.6033834586466165,0.6015037593984962
34,34,LINCS,False,LogisticRegression,0.6808510638297872,0.6770833333333333,0.7145833333333333
35,35,LINCS,False,LogisticRegression,0.6808510638297872,0.5,0.5
36,36,LINCS,False,LogisticRegression,0.6808510638297872,0.6607843137254902,0.7529411764705882
37,37,LINCS,False,LogisticRegression,0.6382978723404256,0.6147058823529412,0.611764705882353
38,38,LINCS,False,LogisticRegression,0.6595744680851063,0.6609195402298851,0.6168582375478927
39,39,LINCS,False,LogisticRegression,0.574468085106383,0.5413306451612903,0.622983870967742
40,40,LINCS,False,LogisticRegression,0.574468085106383,0.5712962962962963,0.5851851851851853
41,41,LINCS,False,LogisticRegression,0.6382978723404256,0.6989583333333333,0.7270833333333333
42,42,LINCS,False,LogisticRegression,0.7021276595744681,0.6439393939393939,0.803030303030303
43,43,LINCS,False,LogisticRegression,0.5106382978723404,0.487012987012987,0.5238095238095238
44,44,LINCS,False,LogisticRegression,0.6170212765957447,0.6107843137254902,0.7196078431372549
45,45,LINCS,False,LogisticRegression,0.5319148936170213,0.5,0.5
46,46,LINCS,False,LogisticRegression,0.5957446808510638,0.5,0.5
47,47,LINCS,False,LogisticRegression,0.6170212765957447,0.5852941176470587,0.5490196078431373
48,48,LINCS,False,LogisticRegression,0.5319148936170213,0.5058823529411764,0.5372549019607843
49,49,LINCS,False,LogisticRegression,0.6382978723404256,0.628125,0.7354166666666666
50,50,LINCS,False,LogisticRegression,0.6595744680851063,0.6186274509803922,0.6372549019607843
51,51,LINCS,False,LogisticRegression,0.6170212765957447,0.6126373626373627,0.6666666666666666
52,52,LINCS,False,LogisticRegression,0.5531914893617021,0.5,0.5
53,53,LINCS,False,LogisticRegression,0.6808510638297872,0.6983082706766917,0.768796992481203
54,54,LINCS,False,LogisticRegression,0.5319148936170213,0.5,0.5
55,55,LINCS,False,LogisticRegression,0.5531914893617021,0.5,0.5
56,56,LINCS,False,LogisticRegression,0.6170212765957447,0.5,0.5
57,57,LINCS,False,LogisticRegression,0.6382978723404256,0.6019607843137255,0.6215686274509804
58,58,LINCS,False,LogisticRegression,0.6382978723404256,0.6118421052631579,0.618421052631579
59,59,LINCS,False,LogisticRegression,0.6382978723404256,0.6529411764705882,0.7196078431372549
60,60,LINCS,False,LogisticRegression,0.6382978723404256,0.5,0.5
61,61,LINCS,False,LogisticRegression,0.46808510638297873,0.47744360902255634,0.5921052631578948
62,62,LINCS,False,LogisticRegression,0.6382978723404256,0.6287593984962406,0.7030075187969924
63,63,LINCS,False,LogisticRegression,0.574468085106383,0.5712962962962963,0.6425925925925926
64,64,LINCS,False,LogisticRegression,0.6382978723404256,0.5,0.5
65,65,LINCS,False,LogisticRegression,0.6595744680851063,0.6512096774193548,0.6975806451612903
66,66,LINCS,False,LogisticRegression,0.6808510638297872,0.66991341991342,0.7510822510822511
67,67,LINCS,False,LogisticRegression,0.5531914893617021,0.5488721804511278,0.5827067669172932
68,68,LINCS,False,LogisticRegression,0.6170212765957447,0.5770676691729323,0.6146616541353384
69,69,LINCS,False,LogisticRegression,0.6595744680851063,0.6459276018099548,0.6561085972850679
70,70,LINCS,False,LogisticRegression,0.6382978723404256,0.6226053639846744,0.6590038314176244
71,71,LINCS,False,LogisticRegression,0.574468085106383,0.5667293233082706,0.631578947368421
72,72,LINCS,False,LogisticRegression,0.5957446808510638,0.5813725490196078,0.6549019607843137
73,73,LINCS,False,LogisticRegression,0.574468085106383,0.5787545787545787,0.684981684981685
74,74,LINCS,False,LogisticRegression,0.5531914893617021,0.5431034482758621,0.6168582375478927
75,75,LINCS,False,LogisticRegression,0.6808510638297872,0.5,0.5
