Run_ID,2-hydroxyglutarate,lactate,glutamine,asparagine,aspartate,tryptophan,methionine
SKMEL31_SKIN,5.9326962,5.8585604,5.923556,5.5311748,6.0124349,6.071487,5.8479846
SKMEL5_SKIN,6.1845267,5.8600773,5.9253984,6.0106048,5.9083833,5.6519631,5.7401361
UACC257_SKIN,5.8005119,5.749626,5.8843808,6.1858011,6.5945338,5.6680862,5.820207
UACC62_SKIN,5.9479025,5.9925386,5.5540589,6.0543673,5.7772135,5.69856,5.7155209
WM115_SKIN,5.9648188,5.9070959,5.9514436,5.6586244,5.8284863,6.1187287,5.8243816
WM1799_SKIN,6.0001868,5.9318267,6.1651822,6.2671211,5.9630709,5.7469815,5.901296
WM2664_SKIN,6.2091014,6.039304,5.9910875,5.6385184,5.7311122,5.9667444,5.8471496
WM793_SKIN,5.8795088,5.8571181,5.7938274,6.0766183,6.068732,5.5852063,5.7103746
WM88_SKIN,6.2202168,5.8616571,6.1088287,6.0827877,5.942284,5.9418592,6.0201545
WM983B_SKIN,6.3686314,6.1065816,5.6403506,6.252791,5.8656021,5.8737954,5.9568384
NCIH1395_LUNG,5.9386359,5.6105143,6.1552356,6.0306593,5.858562,5.8651552,5.9759021
NCIH1666_LUNG,6.0911016,6.0310813,5.9517639,5.200044,5.5729747,6.0832652,5.5446498
NCIH1755_LUNG,5.5662749,5.0003201,4.3868149,5.3456906,5.6334421,5.1841612,4.9734023
NCIH1975_LUNG,6.0114521,5.8247451,5.9684965,6.176577,6.2183963,5.7336247,5.778626
NCIH2087_LUNG,5.5876591,5.9760549,5.9761439,5.1010869,6.0542844,6.0305866,6.087022
NCIH2122_LUNG,5.518677,5.9526127,5.8167028,5.8901695,5.9200065,5.8694938,5.9536008
NCIH23_LUNG,5.7109849,6.0010243,6.0113496,6.0580883,5.9050121,5.7087613,5.8461154
NCIH358_LUNG,6.3867051,6.2632989,5.478087,5.9704684,5.7811235,5.8383541,5.8627343
NCIH441_LUNG,5.8757983,5.975479,5.7216734,6.1200542,6.0166747,5.8121158,5.9656034
NCIH322_LUNG,5.5604244,5.8894495,5.964613,6.2283661,6.0139322,5.73822,5.598219
NCIH522_LUNG,5.6744995,6.0281017,6.0083399,6.0930131,5.8783304,5.8779481,5.9436963
NCIH647_LUNG,6.3319708,5.8551643,5.8737054,6.2932483,5.7395643,5.7577067,5.8773561
NCIH650_LUNG,5.9286112,5.9941378,6.2784302,5.3807891,5.7719027,6.3313822,6.1649696
NCIH838_LUNG,6.4105807,6.1297959,5.8377784,5.9087428,6.0497475,5.6446562,5.7093224
NCIH1355_LUNG,5.534196,5.7243973,6.2587823,5.3802533,5.8053125,5.9421152,5.8663837
NCIH1373_LUNG,5.7808326,6.0928453,5.6358584,6.084843,5.9260124,6.1304255,6.1107076
NCIH1435_LUNG,6.4861111,5.9286983,5.6323131,6.0979734,5.5493582,5.6740017,5.6730491
NCIH1563_LUNG,5.8354925,5.7429997,6.1238351,5.936361,5.9625639,5.9960534,6.0740896
NCIH1568_LUNG,6.1161506,5.9853571,6.1507003,6.025457,5.9123629,5.9549053,6.0144832
NCIH1573_LUNG,6.0973191,5.9311607,5.7890818,5.3094933,5.3837175,5.8205144,5.7679097
NCIH1623_LUNG,5.7386112,5.7394501,5.9007016,6.1003619,5.88889,6.0156684,5.9111208
NCIH1650_LUNG,6.2173452,5.8490019,5.9704004,5.8781558,5.9579416,5.9237272,5.7734945
NCIH1651_LUNG,5.6943842,5.7836876,6.078159,5.1839606,6.521087,6.1207194,6.0347209
NCIH1693_LUNG,5.495329,5.6718493,5.9546329,6.3088724,6.2377141,6.0107841,5.9497377
NCIH1734_LUNG,5.6586349,5.834623,6.0151752,5.9988958,6.0249425,6.0593164,6.0282047
NCIH1792_LUNG,5.6632878,5.8572829,6.0299916,6.0011756,6.0024466,5.9052239,5.9519271
NCIH1793_LUNG,5.9356844,5.8447515,6.0431843,5.0258332,5.3135369,6.1152426,5.9542423
NCIH1838_LUNG,5.7133705,5.7756046,5.9123967,5.9129272,5.7962445,5.8845931,5.8489652
NCIH1944_LUNG,5.9506259,5.5422845,5.5969544,6.218181,5.8867075,5.815073,5.8882002
NCIH2009_LUNG,5.8306632,6.0595743,6.2695903,5.2985153,5.6361225,5.8934592,5.8818841
NCIH2023_LUNG,5.8245679,5.5797606,6.1051774,5.3081232,5.9575111,5.996842,5.8399629
NCIH2030_LUNG,5.7919044,6.3963667,5.7645481,6.1091872,5.9133425,5.9833934,6.0476169
NCIH2085_LUNG,6.0494837,5.7309398,6.4283253,5.1575107,5.6104299,6.1044224,6.106211
NCIH2126_LUNG,5.4863487,6.0191506,6.436826,5.6305612,5.9140765,6.1341072,6.0282704
NCIH2228_LUNG,5.5949633,5.6476055,5.8510157,6.1347896,6.0086643,5.347559,5.839453
NCIH2291_LUNG,5.46753,5.6494333,5.0464561,5.3801184,6.0675649,5.1341231,4.9736566
NCIH2342_LUNG,5.6610051,5.6295487,6.3646965,5.0665325,6.2741396,6.3870103,6.2875365
NCIH2405_LUNG,5.8839763,5.9255009,6.2634245,6.1151297,6.383364,5.7932852,5.8003977
