Run_ID,2-hydroxyglutarate,lactate,glutamine,asparagine,aspartate,tryptophan,methionine
2313287_STOMACH,5.7074517,5.7892871,5.5701621,6.7760297,6.4302501,6.0974746,6.1566503
769P_KIDNEY,6.64052,5.2867288,5.6411338,5.954402,5.5237661,5.3231693,5.3488234
786O_KIDNEY,6.7913029,6.1586594,5.5451061,6.0106185,5.6852268,5.6644286,5.7766603
A101D_SKIN,5.8642557,6.0898066,5.6577501,4.9449126,5.7039661,6.0208901,5.8507948
A2058_SKIN,6.1961534,5.9546169,6.1059077,4.4445043,5.6244351,6.2318091,6.0661131
A253_SALIVARY_GLAND,5.8920699,6.1367271,5.6376367,6.2706719,5.7613851,5.5076481,5.9592727
A375_SKIN,5.8086613,5.9889097,6.4727726,4.7618979,5.5518346,6.6463659,6.4627429
A498_KIDNEY,6.6828958,5.684205,5.4226848,5.2823341,5.5850459,5.7803988,5.5466125
A549_LUNG,5.5577314,5.8444717,4.4040613,5.9079583,5.6377306,5.8783811,3.8479607
ACHN_KIDNEY,5.7280449,6.0212216,4.0301856,4.0413256,4.7228061,6.4126002,6.2013676
AGS_STOMACH,5.9587962,5.8021899,6.1463725,5.9556715,6.1970608,5.7927853,5.47069
ASPC1_PANCREAS,5.6227455,5.7149279,6.066078,6.129716,6.5450295,5.8647817,5.9538328
AU565_BREAST,6.3397036,5.8289133,6.068695,6.2321962,5.8800518,5.8884165,5.919311
BFTC909_KIDNEY,6.0493705,6.1956427,5.3164229,4.525646,5.3353027,6.0024321,5.937771
BHY_UPPER_AERODIGESTIVE_TRACT,5.8244537,6.0893543,6.1050769,5.3315606,5.7434279,6.2813366,6.1487802
BICR16_UPPER_AERODIGESTIVE_TRACT,5.7392894,5.9639915,6.2023523,5.3659733,5.353185,6.2550006,6.1929981
BICR18_UPPER_AERODIGESTIVE_TRACT,5.5890569,5.6621906,6.3280599,4.7068767,5.6918127,6.5324365,6.3857527
BICR22_UPPER_AERODIGESTIVE_TRACT,5.8984092,5.978678,6.1606431,4.9507452,5.3415509,6.2457389,6.1590262
BICR31_UPPER_AERODIGESTIVE_TRACT,5.6164578,6.0750246,6.1544198,5.028765,5.8755278,6.2414717,6.2219377
BICR56_UPPER_AERODIGESTIVE_TRACT,5.8049652,5.970884,6.375138,4.5163933,5.5176633,6.2345068,6.1506384
BICR6_UPPER_AERODIGESTIVE_TRACT,5.6602489,6.0246606,6.2377911,5.318457,5.5030365,6.3445082,6.0938088
BT20_BREAST,6.3127963,6.0721187,5.8968891,5.6815388,5.953665,6.2407495,5.8944341
BT474_BREAST,5.5612695,5.6868433,6.3248504,5.1647205,5.8689394,6.3339122,6.2091183
BT549_BREAST,5.6824698,5.8018518,6.1889163,6.1781866,5.9862179,6.0300161,6.0567632
BXPC3_PANCREAS,5.5506277,6.0264991,6.2095454,6.3820056,6.2825417,5.9176984,6.0501768
C2BBE1_LARGE_INTESTINE,5.7911838,6.0955079,6.2059092,4.8758652,5.2672897,6.2568868,6.1985064
C32_SKIN,6.2204629,5.9170642,4.2344276,4.4316262,4.6014869,6.1667876,6.1163451
CAKI1_KIDNEY,6.3307839,5.926398,5.1391887,5.9929928,5.9335338,5.6753066,5.8416447
CAKI2_KIDNEY,5.8500381,6.0247116,4.9323357,6.1909472,5.735982,5.9080283,6.1290816
CAL120_BREAST,5.8513155,5.8733574,6.112035,4.9728443,5.7651122,6.2822259,6.1295737
CAL148_BREAST,5.5331479,5.0285972,5.7448232,4.7141749,6.0838373,5.7035701,5.4414958
CAL27_UPPER_AERODIGESTIVE_TRACT,5.6570424,6.0587898,6.233618,5.0449138,6.1666086,6.3048852,6.2152763
CAL33_UPPER_AERODIGESTIVE_TRACT,5.6069737,5.9982071,6.4623299,4.8051012,5.8046603,6.2941993,6.117349
CAL51_BREAST,5.7167839,5.8398152,6.1293616,4.7894225,5.811906,6.1166837,6.1028718
CAL54_KIDNEY,5.7393678,5.9498404,6.3690181,4.8904067,5.9331927,6.2777414,6.093037
CAL851_BREAST,5.6134246,5.8707598,6.0787519,4.9000348,6.2500333,6.0558856,5.9815023
CALU1_LUNG,5.6188502,5.7765873,5.8075384,6.1242428,5.8785359,5.8702831,5.9383411
CALU3_LUNG,5.3580778,5.7170693,5.2538283,4.923542,5.2562988,5.6449058,5.1358844
CALU6_LUNG,5.7116706,6.0495141,5.8491601,5.7787463,6.3582324,6.1746065,6.0723711
CAMA1_BREAST,5.523334,5.7804211,5.9900318,5.5382434,5.8837809,6.1029904,5.6872081
CAOV3_OVARY,6.243041,5.970026,6.184949,5.2804404,5.6799299,6.3342886,6.2044471
CAPAN1_PANCREAS,5.7465281,5.5617297,5.3927769,5.4430632,5.8300527,5.4715865,5.1801294
CAPAN2_PANCREAS,5.7117021,5.8869998,5.7127552,6.0711314,6.0568264,5.743724,5.9500756
CCK81_LARGE_INTESTINE,5.7125693,5.7926102,4.1994497,4.391337,5.053591,6.1164741,6.1846391
