,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
92,92,LINCS,False,Poly_SVC,0.744,0.494,-1
93,93,LINCS,False,Poly_SVC,0.744,0.494,-1
94,94,LINCS,False,Poly_SVC,0.726,0.515,-1
95,95,LINCS,False,Poly_SVC,0.786,0.502,-1
96,96,LINCS,False,Poly_SVC,0.761,0.512,-1
97,97,LINCS,False,Poly_SVC,0.735,0.517,-1
98,98,LINCS,False,Poly_SVC,0.786,0.515,-1
99,99,LINCS,False,Poly_SVC,0.778,0.5,-1
100,0,COSMIC,False,Poly_SVC,0.761,0.517,-1
101,1,COSMIC,False,Poly_SVC,0.726,0.51,-1
102,2,COSMIC,False,Poly_SVC,0.821,0.5,-1
103,3,COSMIC,False,Poly_SVC,0.795,0.5,-1
104,4,COSMIC,False,Poly_SVC,0.667,0.484,-1
105,5,COSMIC,False,Poly_SVC,0.778,0.572,-1
106,6,COSMIC,False,Poly_SVC,0.744,0.529,-1
107,7,COSMIC,False,Poly_SVC,0.795,0.549,-1
108,8,COSMIC,False,Poly_SVC,0.735,0.489,-1
109,9,COSMIC,False,Poly_SVC,0.761,0.53,-1
110,10,COSMIC,False,Poly_SVC,0.752,0.494,-1
111,11,COSMIC,False,Poly_SVC,0.752,0.522,-1
112,12,COSMIC,False,Poly_SVC,0.726,0.529,-1
113,13,COSMIC,False,Poly_SVC,0.761,0.517,-1
114,14,COSMIC,False,Poly_SVC,0.726,0.525,-1
115,15,COSMIC,False,Poly_SVC,0.735,0.54,-1
116,16,COSMIC,False,Poly_SVC,0.718,0.518,-1
117,17,COSMIC,False,Poly_SVC,0.726,0.494,-1
118,18,COSMIC,False,Poly_SVC,0.735,0.494,-1
119,19,COSMIC,False,Poly_SVC,0.701,0.508,-1
120,20,COSMIC,False,Poly_SVC,0.812,0.522,-1
121,21,COSMIC,False,Poly_SVC,0.786,0.533,-1
122,22,COSMIC,False,Poly_SVC,0.726,0.5,-1
123,23,COSMIC,False,Poly_SVC,0.744,0.494,-1
124,24,COSMIC,False,Poly_SVC,0.222,0.5,-1
125,25,COSMIC,False,Poly_SVC,0.761,0.537,-1
126,26,COSMIC,False,Poly_SVC,0.718,0.499,-1
127,27,COSMIC,False,Poly_SVC,0.778,0.5,-1
128,28,COSMIC,False,Poly_SVC,0.769,0.484,-1
129,29,COSMIC,False,Poly_SVC,0.735,0.5,-1
130,30,COSMIC,False,Poly_SVC,0.701,0.508,-1
131,31,COSMIC,False,Poly_SVC,0.769,0.542,-1
132,32,COSMIC,False,Poly_SVC,0.735,0.489,-1
133,33,COSMIC,False,Poly_SVC,0.778,0.514,-1
134,34,COSMIC,False,Poly_SVC,0.761,0.512,-1
135,35,COSMIC,False,Poly_SVC,0.752,0.489,-1
136,36,COSMIC,False,Poly_SVC,0.769,0.518,-1
137,37,COSMIC,False,Poly_SVC,0.752,0.532,-1
138,38,COSMIC,False,Poly_SVC,0.761,0.5,-1
139,39,COSMIC,False,Poly_SVC,0.718,0.5,-1
140,40,COSMIC,False,Poly_SVC,0.718,0.499,-1
141,41,COSMIC,False,Poly_SVC,0.752,0.484,-1
142,42,COSMIC,False,Poly_SVC,0.769,0.555,-1
143,43,COSMIC,False,Poly_SVC,0.735,0.535,-1
144,44,COSMIC,False,Poly_SVC,0.735,0.516,-1
145,45,COSMIC,False,Poly_SVC,0.795,0.5,-1
146,46,COSMIC,False,Poly_SVC,0.761,0.512,-1
147,47,COSMIC,False,Poly_SVC,0.761,0.516,-1
148,48,COSMIC,False,Poly_SVC,0.744,0.511,-1
149,49,COSMIC,False,Poly_SVC,0.778,0.5,-1
150,50,COSMIC,False,Poly_SVC,0.778,0.509,-1
151,51,COSMIC,False,Poly_SVC,0.744,0.516,-1
152,52,COSMIC,False,Poly_SVC,0.761,0.5,-1
153,53,COSMIC,False,Poly_SVC,0.692,0.514,-1
154,54,COSMIC,False,Poly_SVC,0.718,0.523,-1
155,55,COSMIC,False,Poly_SVC,0.735,0.5,-1
156,56,COSMIC,False,Poly_SVC,0.778,0.527,-1
157,57,COSMIC,False,Poly_SVC,0.735,0.49,-1
158,58,COSMIC,False,Poly_SVC,0.718,0.499,-1
