,drug,tissue,geneset,balanced_id,data,accuracy,roc_auc,test_type
77,Atezo,BLCA,LINCS,4,permututation 0,0.45588235294117646,0.5515787197231834,1
78,Atezo,BLCA,LINCS,4,permututation 1,0.4852941176470588,0.5110294117647058,1
79,Atezo,BLCA,LINCS,4,permututation 2,0.3014705882352941,0.6336505190311419,1
80,Atezo,BLCA,COSMIC,0,original,0.49264705882352944,0.5173010380622838,1
81,Atezo,BLCA,COSMIC,0,permututation 0,0.47794117647058826,0.48140138408304495,1
82,Atezo,BLCA,COSMIC,0,permututation 1,0.5808823529411765,0.3509948096885813,1
83,Atezo,BLCA,COSMIC,0,permututation 2,0.6102941176470589,0.37521626297577854,1
84,Atezo,BLCA,COSMIC,1,original,0.7279411764705882,0.2227508650519031,1
85,Atezo,BLCA,COSMIC,1,permututation 0,0.3897058823529412,0.6097534602076125,1
86,Atezo,BLCA,COSMIC,1,permututation 1,0.5367647058823529,0.45177335640138405,1
87,Atezo,BLCA,COSMIC,1,permututation 2,0.49264705882352944,0.5073529411764706,1
88,Atezo,BLCA,COSMIC,2,original,0.6323529411764706,0.3209342560553633,1
89,Atezo,BLCA,COSMIC,2,permututation 0,0.49264705882352944,0.5145977508650519,1
90,Atezo,BLCA,COSMIC,2,permututation 1,0.5,0.5,1
91,Atezo,BLCA,COSMIC,2,permututation 2,0.39705882352941174,0.5853157439446367,1
92,Atezo,BLCA,COSMIC,3,original,0.5588235294117647,0.44831314878892736,1
93,Atezo,BLCA,COSMIC,3,permututation 0,0.4338235294117647,0.5201124567474049,1
94,Atezo,BLCA,COSMIC,3,permututation 1,0.5073529411764706,0.49048442906574397,1
95,Atezo,BLCA,COSMIC,3,permututation 2,0.5808823529411765,0.43836505190311414,1
96,Atezo,BLCA,COSMIC,4,original,0.6102941176470589,0.3637543252595155,1
97,Atezo,BLCA,COSMIC,4,permututation 0,0.4411764705882353,0.6271626297577855,1
98,Atezo,BLCA,COSMIC,4,permututation 1,0.6764705882352942,0.22902249134948097,1
99,Atezo,BLCA,COSMIC,4,permututation 2,0.5367647058823529,0.4176038062283737,1
100,Atezo,BLCA,FEATURES,0,original,0.6176470588235294,0.41868512110726647,1
101,Atezo,BLCA,FEATURES,0,permututation 0,0.4117647058823529,0.546712802768166,1
102,Atezo,BLCA,FEATURES,0,permututation 1,0.375,0.6541955017301039,1
103,Atezo,BLCA,FEATURES,0,permututation 2,0.45588235294117646,0.5573096885813149,1
104,Atezo,BLCA,FEATURES,1,original,0.6397058823529411,0.38732698961937717,1
105,Atezo,BLCA,FEATURES,1,permututation 0,0.5514705882352942,0.45631487889273353,1
106,Atezo,BLCA,FEATURES,1,permututation 1,0.47058823529411764,0.4915657439446367,1
107,Atezo,BLCA,FEATURES,1,permututation 2,0.5294117647058824,0.46929065743944637,1
108,Atezo,BLCA,FEATURES,2,original,0.5735294117647058,0.3780276816608997,1
109,Atezo,BLCA,FEATURES,2,permututation 0,0.5,0.5,1
110,Atezo,BLCA,FEATURES,2,permututation 1,0.4485294117647059,0.5587153979238755,1
111,Atezo,BLCA,FEATURES,2,permututation 2,0.47794117647058826,0.5145977508650519,1
112,Atezo,BLCA,FEATURES,3,original,0.5367647058823529,0.4145761245674741,1
113,Atezo,BLCA,FEATURES,3,permututation 0,0.4852941176470588,0.5073529411764706,1
114,Atezo,BLCA,FEATURES,3,permututation 1,0.49264705882352944,0.5073529411764706,1
115,Atezo,BLCA,FEATURES,3,permututation 2,0.4264705882352941,0.5690960207612457,1
116,Atezo,BLCA,FEATURES,4,original,0.6176470588235294,0.3875432525951557,1
117,Atezo,BLCA,FEATURES,4,permututation 0,0.5073529411764706,0.5352508650519031,1
118,Atezo,BLCA,FEATURES,4,permututation 1,0.4485294117647059,0.5914792387543253,1
119,Atezo,BLCA,FEATURES,4,permututation 2,0.4852941176470588,0.5392517301038061,1
120,Atezo,PANCAN,LINCS,0,original,0.6538461538461539,0.31879611366790855,1
121,Atezo,PANCAN,LINCS,0,permututation 0,0.5512820512820513,0.45138432317919497,1
122,Atezo,PANCAN,LINCS,0,permututation 1,0.48717948717948717,0.4955073416611878,1
123,Atezo,PANCAN,LINCS,0,permututation 2,0.49145299145299143,0.5006209365183724,1
124,Atezo,PANCAN,LINCS,1,original,0.5555555555555556,0.4069690992767916,1
125,Atezo,PANCAN,LINCS,1,permututation 0,0.5555555555555556,0.4518956826649134,1
126,Atezo,PANCAN,LINCS,1,permututation 1,0.5,0.5120899992694864,1
127,Atezo,PANCAN,LINCS,1,permututation 2,0.3803418803418803,0.573489663233253,1
128,Atezo,PANCAN,LINCS,2,original,0.5897435897435898,0.39119000657462194,1
129,Atezo,PANCAN,LINCS,2,permututation 0,0.5470085470085471,0.4705968295711886,1
130,Atezo,PANCAN,LINCS,2,permututation 1,0.4017094017094017,0.5811965811965811,1
131,Atezo,PANCAN,LINCS,2,permututation 2,0.5470085470085471,0.45598655855066106,1
132,Atezo,PANCAN,LINCS,3,original,0.6367521367521367,0.32946161151289355,1
133,Atezo,PANCAN,LINCS,3,permututation 0,0.5341880341880342,0.4970414201183432,1
134,Atezo,PANCAN,LINCS,3,permututation 1,0.5427350427350427,0.4348016655708964,1
135,Atezo,PANCAN,LINCS,3,permututation 2,0.42735042735042733,0.5887939221272553,1
136,Atezo,PANCAN,LINCS,4,original,0.5598290598290598,0.42464752721162974,1
137,Atezo,PANCAN,LINCS,4,permututation 0,0.5512820512820513,0.40974505077069184,1
138,Atezo,PANCAN,LINCS,4,permututation 1,0.5512820512820513,0.43567828183212803,1
139,Atezo,PANCAN,LINCS,4,permututation 2,0.5641025641025641,0.42106801081160056,1
140,Atezo,PANCAN,COSMIC,0,original,0.6025641025641025,0.3575863832274088,1
141,Atezo,PANCAN,COSMIC,0,permututation 0,0.5555555555555556,0.4464898823873183,1
142,Atezo,PANCAN,COSMIC,0,permututation 1,0.49145299145299143,0.5088757396449705,1
143,Atezo,PANCAN,COSMIC,0,permututation 2,0.5299145299145299,0.4920008766162613,1
144,Atezo,PANCAN,COSMIC,1,original,0.5213675213675214,0.4499232960771422,1
145,Atezo,PANCAN,COSMIC,1,permututation 0,0.49572649572649574,0.4970414201183432,1
146,Atezo,PANCAN,COSMIC,1,permututation 1,0.5128205128205128,0.4712542917671123,1
147,Atezo,PANCAN,COSMIC,1,permututation 2,0.47863247863247865,0.5319599678574037,1
148,Atezo,PANCAN,COSMIC,2,original,0.6025641025641025,0.3998831178318357,1
149,Atezo,PANCAN,COSMIC,2,permututation 0,0.5641025641025641,0.3664986485499306,1
150,Atezo,PANCAN,COSMIC,2,permututation 1,0.4829059829059829,0.5259697567389875,1
151,Atezo,PANCAN,COSMIC,2,permututation 2,0.4658119658119658,0.5497844985024473,1
152,Atezo,PANCAN,COSMIC,3,original,0.6153846153846154,0.35583315070494553,1
153,Atezo,PANCAN,COSMIC,3,permututation 0,0.6068376068376068,0.3647454160274673,1
154,Atezo,PANCAN,COSMIC,3,permututation 1,0.5299145299145299,0.45503689093432687,1
155,Atezo,PANCAN,COSMIC,3,permututation 2,0.39316239316239315,0.5542771568412594,1
156,Atezo,PANCAN,COSMIC,4,original,0.5982905982905983,0.3800862005990211,1
157,Atezo,PANCAN,COSMIC,4,permututation 0,0.5128205128205128,0.5378771276207174,1
158,Atezo,PANCAN,COSMIC,4,permututation 1,0.5598290598290598,0.4345094601504858,1
159,Atezo,PANCAN,COSMIC,4,permututation 2,0.452991452991453,0.5547519906494265,1
160,Atezo,PANCAN,FEATURES,0,original,0.6025641025641025,0.37446124625611804,1
161,Atezo,PANCAN,FEATURES,0,permututation 0,0.358974358974359,0.6472715318869164,1
162,Atezo,PANCAN,FEATURES,0,permututation 1,0.4658119658119658,0.5620571261596903,1
163,Atezo,PANCAN,FEATURES,0,permututation 2,0.48717948717948717,0.5168018116736066,1
164,Atezo,PANCAN,FEATURES,1,original,0.6282051282051282,0.35977792388048796,1
165,Atezo,PANCAN,FEATURES,1,permututation 0,0.5811965811965812,0.40653079114617574,1
166,Atezo,PANCAN,FEATURES,1,permututation 1,0.5,0.5,1
167,Atezo,PANCAN,FEATURES,1,permututation 2,0.5,0.5,1
168,Atezo,PANCAN,FEATURES,2,original,0.5854700854700855,0.3754109138724523,1
169,Atezo,PANCAN,FEATURES,2,permututation 0,0.49572649572649574,0.5186646212287238,1
170,Atezo,PANCAN,FEATURES,2,permututation 1,0.49145299145299143,0.5042735042735043,1
171,Atezo,PANCAN,FEATURES,2,permututation 2,0.5512820512820513,0.4350208196362042,1
172,Atezo,PANCAN,FEATURES,3,original,0.5982905982905983,0.38761049017459276,1
173,Atezo,PANCAN,FEATURES,3,permututation 0,0.4700854700854701,0.5346628679962013,1
174,Atezo,PANCAN,FEATURES,3,permututation 1,0.5,0.5,1
175,Atezo,PANCAN,FEATURES,3,permututation 2,0.4829059829059829,0.517094017094017,1
176,Atezo,PANCAN,FEATURES,4,original,0.5726495726495726,0.40119804222368327,1
177,Atezo,PANCAN,FEATURES,4,permututation 0,0.5854700854700855,0.43757761706479653,1
178,Atezo,PANCAN,FEATURES,4,permututation 1,0.49572649572649574,0.5190298780042369,1
179,Atezo,PANCAN,FEATURES,4,permututation 2,0.49572649572649574,0.5242165242165242,1
