Drug,Tissue,Metric,Model,Best Value,Second Best Value,Range,Second Gap
Atezo,KIRC,accuracy,LogisticRegression,0.7152941176470589,0.6941176470588235,0.05294117647058827,0.021176470588235352
Atezo,KIRC,balanced_accuracy,LogisticRegression,0.5284161780248736,0.5130983704844485,0.03990438096525045,0.01531780754042511
Atezo,KIRC,roc_auc,LogisticRegression,0.5847430295952035,0.547664188174533,0.08742416601112257,0.03707884142067053
Atezo,KIRC,accuracy,RandomForest,0.7094117647058823,0.6964705882352942,0.05529411764705883,0.012941176470588123
Atezo,KIRC,balanced_accuracy,RandomForest,0.536536682297102,0.5337982096197988,0.03474275352056455,0.0027384726773032053
Atezo,KIRC,roc_auc,RandomForest,0.6062875353568238,0.6034565215893551,0.09315400962964815,0.0028310137674686375
Atezo,BLCA,accuracy,LogisticRegression,0.786,0.774,0.02533333333333343,0.01200000000000001
Atezo,BLCA,balanced_accuracy,LogisticRegression,0.5455542936036618,0.5394644725620534,0.04545931817858628,0.006089821041608379
Atezo,BLCA,roc_auc,LogisticRegression,0.659492966779283,0.6484535095380017,0.11971568494912943,0.011039457241281303
Atezo,BLCA,accuracy,RandomForest,0.7760000000000001,0.7713333333333334,0.021333333333333426,0.004666666666666708
Atezo,BLCA,balanced_accuracy,RandomForest,0.5361918105168001,0.5297716013597088,0.04091877186049886,0.0064202091570912945
Atezo,BLCA,roc_auc,RandomForest,0.6300356678060914,0.6180939398691317,0.06517445405085398,0.01194172793695969
