Run_ID,Response
2313287_STOMACH,0
769P_KIDNEY,0
786O_KIDNEY,0
A101D_SKIN,0
A2058_SKIN,0
A253_SALIVARY_GLAND,0
A375_SKIN,0
A498_KIDNEY,0
A549_LUNG,0
ACHN_KIDNEY,0
AGS_STOMACH,0
ASPC1_PANCREAS,0
AU565_BREAST,0
BFTC909_KIDNEY,0
BHY_UPPER_AERODIGESTIVE_TRACT,0
BICR16_UPPER_AERODIGESTIVE_TRACT,0
BICR18_UPPER_AERODIGESTIVE_TRACT,1
BICR22_UPPER_AERODIGESTIVE_TRACT,0
BICR31_UPPER_AERODIGESTIVE_TRACT,0
BICR56_UPPER_AERODIGESTIVE_TRACT,0
BICR6_UPPER_AERODIGESTIVE_TRACT,0
BT20_BREAST,0
BT474_BREAST,0
BT549_BREAST,0
BXPC3_PANCREAS,1
C2BBE1_LARGE_INTESTINE,0
C32_SKIN,0
CAKI1_KIDNEY,0
CAKI2_KIDNEY,0
CAL120_BREAST,0
CAL148_BREAST,1
CAL27_UPPER_AERODIGESTIVE_TRACT,0
CAL33_UPPER_AERODIGESTIVE_TRACT,0
CAL51_BREAST,1
CAL851_BREAST,0
CALU1_LUNG,0
CALU3_LUNG,0
CALU6_LUNG,0
CAMA1_BREAST,0
CAOV3_OVARY,1
CAPAN2_PANCREAS,1
CCK81_LARGE_INTESTINE,1
CFPAC1_PANCREAS,0
CJM_SKIN,0
CL11_LARGE_INTESTINE,1
CL34_LARGE_INTESTINE,1
COLO201_LARGE_INTESTINE,0
COLO320_LARGE_INTESTINE,0
COLO678_LARGE_INTESTINE,0
COLO680N_OESOPHAGUS,0
COLO792_SKIN,1
COLO800_SKIN,0
COLO829_SKIN,0
CORL105_LUNG,0
COV362_OVARY,0
COV434_OVARY,1
COV644_OVARY,0
CW2_LARGE_INTESTINE,0
DANG_PANCREAS,0
DETROIT562_UPPER_AERODIGESTIVE_TRACT,0
DU4475_BREAST,1
DV90_LUNG,1
EBC1_LUNG,1
ECC10_STOMACH,1
ECC12_STOMACH,0
ECGI10_OESOPHAGUS,0
EFM192A_BREAST,0
EFO21_OVARY,0
EFO27_OVARY,0
EKVX_LUNG,0
EPLC272H_LUNG,0
ES2_OVARY,0
FADU_UPPER_AERODIGESTIVE_TRACT,0
FU97_STOMACH,0
FUOV1_OVARY,0
G361_SKIN,0
GP2D_LARGE_INTESTINE,1
GSS_STOMACH,1
GSU_STOMACH,0
HARA_LUNG,1
HCC1143_BREAST,1
HCC1195_LUNG,1
HCC1395_BREAST,0
HCC1419_BREAST,0
HCC1428_BREAST,0
HCC15_LUNG,1
HCC1500_BREAST,0
HCC1588_LUNG,1
HCC1806_BREAST,0
HCC1833_LUNG,1
HCC1937_BREAST,0
HCC1954_BREAST,0
HCC202_BREAST,0
HCC2108_LUNG,1
HCC2218_BREAST,0
HCC2279_LUNG,0
HCC366_LUNG,0
HCC38_BREAST,0
HCC4006_LUNG,0
HCC44_LUNG,1
HCC56_LARGE_INTESTINE,0
HCC78_LUNG,0
HCC827_LUNG,0
HCC95_LUNG,0
HCT116_LARGE_INTESTINE,0
HCT15_LARGE_INTESTINE,0
HDQP1_BREAST,0
HEP3B217_LIVER,0
HEPG2_LIVER,0
HEYA8_OVARY,0
HGC27_STOMACH,1
HLF_LIVER,0
HMC18_BREAST,1
HMCB_SKIN,0
HOP62_LUNG,0
HPAC_PANCREAS,0
HPAFII_PANCREAS,0
HS294T_SKIN,0
HS578T_BREAST,1
HS688AT_FIBROBLAST,0
HS746T_STOMACH,0
HS766T_PANCREAS,0
HS839T_FIBROBLAST,0
HS852T_SKIN,1
HS895T_FIBROBLAST,0
HS934T_FIBROBLAST,0
HS936T_SKIN,0
HS940T_FIBROBLAST,0
HS944T_SKIN,0
HSC2_UPPER_AERODIGESTIVE_TRACT,0
HSC3_UPPER_AERODIGESTIVE_TRACT,0
HSC4_UPPER_AERODIGESTIVE_TRACT,0
HT115_LARGE_INTESTINE,1
HT144_SKIN,0
HT29_LARGE_INTESTINE,0
HT55_LARGE_INTESTINE,0
