,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
1,1,LINCS,False,Linear_SVC,0.7821782178217822,0.5,-1
2,2,LINCS,False,Linear_SVC,0.7920792079207921,0.5,-1
3,3,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
4,4,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
5,5,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
6,6,LINCS,False,Linear_SVC,0.7821782178217822,0.5,-1
7,7,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
8,8,LINCS,False,Linear_SVC,0.7524752475247525,0.5,-1
9,9,LINCS,False,Linear_SVC,0.7920792079207921,0.5,-1
10,10,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
11,11,LINCS,False,Linear_SVC,0.7821782178217822,0.5,-1
12,12,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
13,13,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
14,14,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
15,15,LINCS,False,Linear_SVC,0.7425742574257426,0.5,-1
16,16,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
17,17,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
18,18,LINCS,False,Linear_SVC,0.7722772277227723,0.5,-1
19,19,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
20,20,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
21,21,LINCS,False,Linear_SVC,0.7425742574257426,0.5,-1
22,22,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
23,23,LINCS,False,Linear_SVC,0.7821782178217822,0.5,-1
24,24,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
25,25,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
26,26,LINCS,False,Linear_SVC,0.7128712871287128,0.5,-1
27,27,LINCS,False,Linear_SVC,0.8613861386138614,0.5,-1
28,28,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
29,29,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
30,30,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
31,31,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
32,32,LINCS,False,Linear_SVC,0.7722772277227723,0.5,-1
33,33,LINCS,False,Linear_SVC,0.7920792079207921,0.5,-1
34,34,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
35,35,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
36,36,LINCS,False,Linear_SVC,0.7722772277227723,0.5,-1
37,37,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
38,38,LINCS,False,Linear_SVC,0.7425742574257426,0.5,-1
39,39,LINCS,False,Linear_SVC,0.801980198019802,0.5,-1
40,40,LINCS,False,Linear_SVC,0.7227722772277227,0.5,-1
41,41,LINCS,False,Linear_SVC,0.7821782178217822,0.5,-1
42,42,LINCS,False,Linear_SVC,0.8415841584158416,0.5,-1
43,43,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
44,44,LINCS,False,Linear_SVC,0.8118811881188119,0.5,-1
45,45,LINCS,False,Linear_SVC,0.8217821782178217,0.5,-1
46,46,LINCS,False,Linear_SVC,0.7722772277227723,0.5,-1
47,47,LINCS,False,Linear_SVC,0.7920792079207921,0.5,-1
48,48,LINCS,False,Linear_SVC,0.7623762376237624,0.5,-1
