,iter,geneset,stratified,model,test accuracy,test balanced accuracy,Test_ROC
0,0,LINCS,False,RandomForest,0.7920792079207921,0.5175595238095239,0.3571428571428572
1,1,LINCS,False,RandomForest,0.7821782178217822,0.4876543209876543,0.48888888888888893
2,2,LINCS,False,RandomForest,0.7623762376237624,0.5,0.6152597402597403
3,3,LINCS,False,RandomForest,0.7623762376237624,0.4751937984496124,0.4496124031007752
4,4,LINCS,False,RandomForest,0.7326732673267327,0.5002631578947369,0.5147368421052632
5,5,LINCS,False,RandomForest,0.7326732673267327,0.4868421052631579,0.4794736842105264
6,6,LINCS,False,RandomForest,0.7326732673267327,0.46835443037974683,0.5195627157652474
7,7,LINCS,False,RandomForest,0.7524752475247525,0.5025083612040134,0.5852842809364549
8,8,LINCS,False,RandomForest,0.8217821782178217,0.5,0.5742971887550201
9,9,LINCS,False,RandomForest,0.7722772277227723,0.5100690448791715,0.57307249712313
10,10,LINCS,False,RandomForest,0.7524752475247525,0.5,0.5647368421052632
11,11,LINCS,False,RandomForest,0.7326732673267327,0.5,0.5990990990990991
12,12,LINCS,False,RandomForest,0.7425742574257426,0.4934210526315789,0.5378947368421053
13,13,LINCS,False,RandomForest,0.7920792079207921,0.5080231065468549,0.5596919127086007
14,14,LINCS,False,RandomForest,0.7425742574257426,0.5185185185185185,0.5760760760760761
15,15,LINCS,False,RandomForest,0.7227722772277227,0.4992307692307692,0.4887179487179487
16,16,LINCS,False,RandomForest,0.7326732673267327,0.5,0.544044044044044
17,17,LINCS,False,RandomForest,0.7326732673267327,0.5002631578947369,0.5452631578947368
18,18,LINCS,False,RandomForest,0.7821782178217822,0.5,0.4424626006904488
19,19,LINCS,False,RandomForest,0.8514851485148515,0.5566176470588236,0.5977941176470588
20,20,LINCS,False,RandomForest,0.7326732673267327,0.505897435897436,0.3743589743589743
21,21,LINCS,False,RandomForest,0.7326732673267327,0.46835443037974683,0.4959723820483314
22,22,LINCS,False,RandomForest,0.7821782178217822,0.5113095238095238,0.5630952380952381
23,23,LINCS,False,RandomForest,0.7623762376237624,0.4941358024691358,0.45679012345679015
24,24,LINCS,False,RandomForest,0.6831683168316832,0.489463601532567,0.4909003831417625
25,25,LINCS,False,RandomForest,0.7920792079207921,0.49382716049382713,0.5253086419753087
26,26,LINCS,False,RandomForest,0.7821782178217822,0.4876543209876543,0.4740740740740741
27,27,LINCS,False,RandomForest,0.7524752475247525,0.5134210526315789,0.5057894736842106
28,28,LINCS,False,RandomForest,0.7029702970297029,0.5033524904214559,0.5440613026819924
