Drug,Tissue,Model,Features,Test Accuracy,Test Balanced Accuracy,Test ROC AUC
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5761904761904761,0.7333333333333333
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.5909090909090909,0.5095238095238095,0.619047619047619
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6142857142857143,0.6666666666666666
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.5454545454545454,0.4,0.5333333333333333
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5380952380952381,0.5333333333333332
Nivo,SKCM,LogisticRegression,cosmic1,0.5454545454545454,0.4380952380952381,0.6285714285714286
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6142857142857143,0.8285714285714286
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.36363636363636365,0.419047619047619,0.5047619047619047
Nivo,SKCM,LogisticRegression,cosmic1,0.7272727272727273,0.6857142857142857,0.7428571428571429
Nivo,SKCM,LogisticRegression,cosmic1,0.7272727272727273,0.6857142857142857,0.6666666666666667
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.6142857142857143,0.6
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.7727272727272727,0.719047619047619,0.7619047619047619
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5761904761904761,0.8190476190476191
Nivo,SKCM,LogisticRegression,cosmic1,0.6363636363636364,0.4666666666666667,0.5333333333333333
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5380952380952381,0.638095238095238
Nivo,SKCM,LogisticRegression,cosmic1,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5454545454545454,0.5142857142857142,0.5809523809523809
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.6142857142857143,0.6571428571428571
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.5809523809523809,0.6
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.5095238095238095,0.6
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.5476190476190476,0.6285714285714286
Nivo,SKCM,LogisticRegression,cosmic2,0.5454545454545454,0.4,0.5809523809523809
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.5809523809523809,0.5333333333333333
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.5809523809523809,0.7428571428571429
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.7727272727272727,0.680952380952381,0.657142857142857
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.5047619047619047,0.5904761904761904
Nivo,SKCM,LogisticRegression,cosmic2,0.5,0.4809523809523809,0.5904761904761905
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.4666666666666667,0.5523809523809524
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.5095238095238095,0.47619047619047616
Nivo,SKCM,LogisticRegression,cosmic2,0.7272727272727273,0.6857142857142857,0.5904761904761905
Nivo,SKCM,LogisticRegression,cosmic2,0.7272727272727273,0.6095238095238096,0.5619047619047619
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.6238095238095238,0.5619047619047619
Nivo,SKCM,LogisticRegression,cosmic2,0.5909090909090909,0.5857142857142856,0.6476190476190475
Nivo,SKCM,LogisticRegression,cosmic2,0.6363636363636364,0.5809523809523809,0.6095238095238095
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5761904761904761,0.5904761904761905
Nivo,SKCM,LogisticRegression,cosmic2,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic,0.6818181818181818,0.5,0.5
Nivo,SKCM,LogisticRegression,cosmic,0.6818181818181818,0.5,0.5
