Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Atezo,COSMIC,KIRC,Logistic Regression,Accuracy,0.032528257857351514,0.032528257857351514,0.1138489025007303
Atezo,KEGG,KIRC,Logistic Regression,Accuracy,0.6409716619618713,0.6409716619618713,0.7192687036003056
Atezo,CGL,KIRC,Logistic Regression,Accuracy,0.10244858051692474,0.10244858051692474,0.1792850159046183
Atezo,MDSIG-DB,KIRC,Logistic Regression,Accuracy,0.4369873252626747,0.4369873252626747,0.6117822553677446
Atezo,IMPRES,KIRC,Logistic Regression,Accuracy,<0.005,0.0006541125896158894,0.004578788127311226
Atezo,ALL,KIRC,Logistic Regression,Accuracy,0.7192687036003056,0.7192687036003056,0.7192687036003056
Atezo,IMM. FEAT,KIRC,Logistic Regression,Accuracy,0.05929836562008356,0.05929836562008356,0.1383628531135283
Atezo,COSMIC,KIRC,Logistic Regression,Balanced Accuracy,0.786601675836795,0.786601675836795,0.8883625136443205
Atezo,KEGG,KIRC,Logistic Regression,Balanced Accuracy,0.32813274465100295,0.32813274465100295,0.5961008189916678
Atezo,CGL,KIRC,Logistic Regression,Balanced Accuracy,0.42578629927976275,0.42578629927976275,0.5961008189916678
Atezo,MDSIG-DB,KIRC,Logistic Regression,Balanced Accuracy,0.3659224961348325,0.3659224961348325,0.5961008189916678
Atezo,IMPRES,KIRC,Logistic Regression,Balanced Accuracy,0.8883625136443205,0.8883625136443205,0.8883625136443205
Atezo,ALL,KIRC,Logistic Regression,Balanced Accuracy,0.007990572421949161,0.007990572421949161,0.05593400695364413
Atezo,IMM. FEAT,KIRC,Logistic Regression,Balanced Accuracy,0.029011872150440474,0.029011872150440474,0.10154155252654166
Atezo,COSMIC,KIRC,Logistic Regression,Area Under ROC Curve,0.24505953306924355,0.24505953306924355,0.4288541828711762
Atezo,KEGG,KIRC,Logistic Regression,Area Under ROC Curve,0.7364884816372564,0.7364884816372564,0.7364884816372564
Atezo,CGL,KIRC,Logistic Regression,Area Under ROC Curve,0.6590802819077249,0.6590802819077249,0.7364884816372564
Atezo,MDSIG-DB,KIRC,Logistic Regression,Area Under ROC Curve,0.7364884816372564,0.7364884816372564,0.7364884816372564
Atezo,IMPRES,KIRC,Logistic Regression,Area Under ROC Curve,0.0144361599726106,0.0144361599726106,0.033684373269424736
Atezo,ALL,KIRC,Logistic Regression,Area Under ROC Curve,<0.005,4.173053643199944e-06,2.921137550239961e-05
Atezo,IMM. FEAT,KIRC,Logistic Regression,Area Under ROC Curve,<0.005,0.0009392821209997213,0.0032874874234990244
Atezo,COSMIC,KIRC,Random Forest,Accuracy,0.29384612542213606,0.29384612542213606,0.5233299867381256
Atezo,KEGG,KIRC,Random Forest,Accuracy,0.02726218603593384,0.02726218603593384,0.1908353022515369
Atezo,CGL,KIRC,Random Forest,Accuracy,0.15614825471783364,0.15614825471783364,0.5233299867381256
Atezo,MDSIG-DB,KIRC,Random Forest,Accuracy,0.44856856006125045,0.44856856006125045,0.5233299867381256
Atezo,IMPRES,KIRC,Random Forest,Accuracy,0.4482186225289506,0.4482186225289506,0.5233299867381256
Atezo,ALL,KIRC,Random Forest,Accuracy,0.3171866609859718,0.3171866609859718,0.5233299867381256
Atezo,IMM. FEAT,KIRC,Random Forest,Accuracy,0.5339535026565974,0.5339535026565974,0.5339535026565974
Atezo,COSMIC,KIRC,Random Forest,Balanced Accuracy,0.5474763003276806,0.5474763003276806,0.8142867387101373
Atezo,KEGG,KIRC,Random Forest,Balanced Accuracy,0.0169781253562489,0.0169781253562489,0.05942343874687115
Atezo,CGL,KIRC,Random Forest,Balanced Accuracy,0.5996183871646601,0.5996183871646601,0.8142867387101373
Atezo,MDSIG-DB,KIRC,Random Forest,Balanced Accuracy,1.0,1.0,1.0
Atezo,IMPRES,KIRC,Random Forest,Balanced Accuracy,0.013543565500178698,0.013543565500178698,0.05942343874687115
Atezo,ALL,KIRC,Random Forest,Balanced Accuracy,0.6979600617515462,0.6979600617515462,0.8142867387101373
Atezo,IMM. FEAT,KIRC,Random Forest,Balanced Accuracy,0.1509580252790296,0.1509580252790296,0.35223539231773576
Atezo,COSMIC,KIRC,Random Forest,Area Under ROC Curve,0.39325715704186925,0.39325715704186925,0.39325715704186925
Atezo,KEGG,KIRC,Random Forest,Area Under ROC Curve,0.1624120073498867,0.1624120073498867,0.22737681028984139
Atezo,CGL,KIRC,Random Forest,Area Under ROC Curve,0.2523052121646835,0.2523052121646835,0.29435608085879744
Atezo,MDSIG-DB,KIRC,Random Forest,Area Under ROC Curve,0.013733404308894272,0.013733404308894272,0.02403345754056498
Atezo,IMPRES,KIRC,Random Forest,Area Under ROC Curve,<0.005,9.690975698727516e-06,3.391841494554631e-05
Atezo,ALL,KIRC,Random Forest,Area Under ROC Curve,<0.005,3.2134308831337706e-06,2.2494016181936394e-05
Atezo,IMM. FEAT,KIRC,Random Forest,Area Under ROC Curve,<0.005,8.87439774892396e-05,0.00020706928080822576
