Run_ID,2-hydroxyglutarate,lactate,glutamine,asparagine,aspartate,tryptophan,methionine
A549_LUNG,5.5577314,5.8444717,4.4040613,5.9079583,5.6377306,5.8783811,3.8479607
AU565_BREAST,6.3397036,5.8289133,6.068695,6.2321962,5.8800518,5.8884165,5.919311
BT20_BREAST,6.3127963,6.0721187,5.8968891,5.6815388,5.953665,6.2407495,5.8944341
BT474_BREAST,5.5612695,5.6868433,6.3248504,5.1647205,5.8689394,6.3339122,6.2091183
BT549_BREAST,5.6824698,5.8018518,6.1889163,6.1781866,5.9862179,6.0300161,6.0567632
CAL120_BREAST,5.8513155,5.8733574,6.112035,4.9728443,5.7651122,6.2822259,6.1295737
CAL148_BREAST,5.5331479,5.0285972,5.7448232,4.7141749,6.0838373,5.7035701,5.4414958
CAL51_BREAST,5.7167839,5.8398152,6.1293616,4.7894225,5.811906,6.1166837,6.1028718
CAL851_BREAST,5.6134246,5.8707598,6.0787519,4.9000348,6.2500333,6.0558856,5.9815023
CALU3_LUNG,5.3580778,5.7170693,5.2538283,4.923542,5.2562988,5.6449058,5.1358844
CALU6_LUNG,5.7116706,6.0495141,5.8491601,5.7787463,6.3582324,6.1746065,6.0723711
CAMA1_BREAST,5.523334,5.7804211,5.9900318,5.5382434,5.8837809,6.1029904,5.6872081
CORL105_LUNG,7.7526789,5.9250123,5.8094795,6.2445765,6.2267214,6.3222068,6.3320536
DU4475_BREAST,5.4759122,5.2816933,5.5390934,5.8307376,6.3722076,5.5732462,5.4307798
DV90_LUNG,5.9276937,5.9293203,5.8665214,6.3744812,6.181972,5.6936199,5.7194906
EFM192A_BREAST,5.7068943,5.8421372,6.0894481,6.0101675,5.7444352,5.7944597,5.8708183
EKVX_LUNG,6.0178752,5.8895974,5.9255947,6.182623,6.024447,5.7903471,5.8512383
HCC1143_BREAST,5.78839,5.9588522,6.1754973,6.3931847,6.2415044,6.1290644,6.2059962
HCC1195_LUNG,6.0715381,6.0799963,5.7616605,6.0632952,5.9958334,5.688815,5.7849666
HCC1395_BREAST,5.7747938,5.6454829,5.8456908,6.0774207,6.0388741,5.6845092,5.7849689
HCC1419_BREAST,6.0178172,5.6953076,5.9843097,6.134415,6.1286453,5.8158249,5.8604977
HCC1428_BREAST,5.8005702,5.9526142,6.0105802,5.9396608,5.5046847,5.7118308,5.734006
HCC1500_BREAST,5.8805942,5.5895404,5.8457357,6.0577503,5.7600043,5.5817592,5.6622468
