Drug,Feature Set,Tissue,Model,Metric,P-str,P,adj_p
Pembro,COSMIC,STAD,Logistic Regression,Accuracy,0.09030485774702607,0.09030485774702607,0.10535566737153042
Pembro,KEGG,STAD,Logistic Regression,Accuracy,<0.005,0.0026154878830558586,0.004577103795347753
Pembro,CGL,STAD,Logistic Regression,Accuracy,0.43590218954677185,0.43590218954677185,0.43590218954677185
Pembro,MDSIG-DB,STAD,Logistic Regression,Accuracy,0.017180700291679563,0.017180700291679563,0.024052980408351386
Pembro,IMPRES,STAD,Logistic Regression,Accuracy,<0.005,1.4493167254480527e-06,1.0145217078136369e-05
Pembro,ALL,STAD,Logistic Regression,Accuracy,<0.005,1.6062970522358256e-05,3.748026455216927e-05
Pembro,IMM. FEAT,STAD,Logistic Regression,Accuracy,<0.005,5.8627273946307e-06,2.051954588120745e-05
Pembro,COSMIC,STAD,Logistic Regression,Balanced Accuracy,<0.005,0.0005275154112676993,0.0006154346464789825
Pembro,KEGG,STAD,Logistic Regression,Balanced Accuracy,<0.005,3.919599181740832e-09,1.3718597136092912e-08
Pembro,CGL,STAD,Logistic Regression,Balanced Accuracy,0.006941141750775431,0.006941141750775431,0.006941141750775431
Pembro,MDSIG-DB,STAD,Logistic Regression,Balanced Accuracy,<0.005,5.808940993669725e-07,1.0165646738922018e-06
Pembro,IMPRES,STAD,Logistic Regression,Balanced Accuracy,<0.005,2.3790288587003563e-08,5.551067336967498e-08
Pembro,ALL,STAD,Logistic Regression,Balanced Accuracy,<0.005,2.9695693957476766e-09,1.3718597136092912e-08
Pembro,IMM. FEAT,STAD,Logistic Regression,Balanced Accuracy,<0.005,1.3242957334066735e-06,1.8540140267693429e-06
Pembro,COSMIC,STAD,Logistic Regression,Area Under ROC Curve,<0.005,0.001712221246473376,0.001712221246473376
Pembro,KEGG,STAD,Logistic Regression,Area Under ROC Curve,<0.005,1.6593073598131432e-09,9.933663908467444e-09
Pembro,CGL,STAD,Logistic Regression,Area Under ROC Curve,<0.005,4.0873713529233695e-06,4.768599911743931e-06
Pembro,MDSIG-DB,STAD,Logistic Regression,Area Under ROC Curve,<0.005,7.652874093613551e-07,1.0714023731058972e-06
Pembro,IMPRES,STAD,Logistic Regression,Area Under ROC Curve,<0.005,4.510070884780423e-09,1.0523498731154321e-08
Pembro,ALL,STAD,Logistic Regression,Area Under ROC Curve,<0.005,2.8381896881335552e-09,9.933663908467444e-09
Pembro,IMM. FEAT,STAD,Logistic Regression,Area Under ROC Curve,<0.005,4.19366914166859e-07,7.338920997920032e-07
Pembro,COSMIC,STAD,Random Forest,Accuracy,<0.005,0.004135799255741391,0.005790118958037947
Pembro,KEGG,STAD,Random Forest,Accuracy,0.022790859746790584,0.022790859746790584,0.026589336371255684
Pembro,CGL,STAD,Random Forest,Accuracy,<0.005,0.0004232525005402791,0.000987589167927318
Pembro,MDSIG-DB,STAD,Random Forest,Accuracy,0.058569777451538914,0.058569777451538914,0.058569777451538914
Pembro,IMPRES,STAD,Random Forest,Accuracy,<0.005,5.667125777683068e-06,1.9834940221890738e-05
Pembro,ALL,STAD,Random Forest,Accuracy,<0.005,0.0026554398221758347,0.004647019688807711
Pembro,IMM. FEAT,STAD,Random Forest,Accuracy,<0.005,1.8245543302711102e-07,1.2771880311897772e-06
Pembro,COSMIC,STAD,Random Forest,Balanced Accuracy,0.04681295689323388,0.04681295689323388,0.054615116375439525
Pembro,KEGG,STAD,Random Forest,Balanced Accuracy,<0.005,0.000577787570101343,0.001348170996903134
Pembro,CGL,STAD,Random Forest,Balanced Accuracy,0.04018091386275002,0.04018091386275002,0.054615116375439525
Pembro,MDSIG-DB,STAD,Random Forest,Balanced Accuracy,0.05878394433025276,0.05878394433025276,0.05878394433025276
Pembro,IMPRES,STAD,Random Forest,Balanced Accuracy,<0.005,1.9946839263359904e-05,6.981393742175967e-05
Pembro,ALL,STAD,Random Forest,Balanced Accuracy,0.024132583237175684,0.024132583237175684,0.04223202066505745
Pembro,IMM. FEAT,STAD,Random Forest,Balanced Accuracy,<0.005,5.417952129205333e-06,3.792566490443733e-05
Pembro,COSMIC,STAD,Random Forest,Area Under ROC Curve,<0.005,0.0013618172196833886,0.0015887867562972868
Pembro,KEGG,STAD,Random Forest,Area Under ROC Curve,<0.005,1.0140702781661621e-07,7.098491947163135e-07
Pembro,CGL,STAD,Random Forest,Area Under ROC Curve,0.023163131325156024,0.023163131325156024,0.023163131325156024
Pembro,MDSIG-DB,STAD,Random Forest,Area Under ROC Curve,<0.005,2.536458644724369e-05,3.551042102614116e-05
Pembro,IMPRES,STAD,Random Forest,Area Under ROC Curve,<0.005,1.1379146417891314e-05,1.9913506231309802e-05
Pembro,ALL,STAD,Random Forest,Area Under ROC Curve,<0.005,7.242317274649438e-07,1.6898740307515356e-06
Pembro,IMM. FEAT,STAD,Random Forest,Area Under ROC Curve,<0.005,3.793406673075847e-07,1.3276923355765466e-06
